developers,iso2_code,year,quarter
9763122,US,2020,1
6983489,EU,2020,1
5885036,CN,2020,1
4194257,IN,2020,1
1635516,GB,2020,1
1400662,BR,2020,1
1319588,DE,2020,1
1283298,RU,2020,1
1134715,CA,2020,1
1128302,JP,2020,1
1067323,FR,2020,1
880038,ID,2020,1
761690,KR,2020,1
678548,AU,2020,1
650592,ES,2020,1
568562,UA,2020,1
565841,NL,2020,1
537945,MX,2020,1
531465,PL,2020,1
505532,VN,2020,1
480618,TR,2020,1
468484,IT,2020,1
414767,TW,2020,1
413692,PH,2020,1
401680,HK,2020,1
321505,SE,2020,1
317224,PK,2020,1
304181,TH,2020,1
302591,SG,2020,1
281269,CO,2020,1
280922,AR,2020,1
252164,IL,2020,1
236751,EG,2020,1
230371,MY,2020,1
218096,CH,2020,1
216516,RO,2020,1
215927,BE,2020,1
215789,BD,2020,1
210145,IR,2020,1
202767,ZA,2020,1
177756,DK,2020,1
173641,NG,2020,1
170627,PT,2020,1
166866,SA,2020,1
161209,CL,2020,1
158784,NO,2020,1
155721,CZ,2020,1
150672,PE,2020,1
148529,BY,2020,1
148081,AT,2020,1
145859,IE,2020,1
145464,FI,2020,1
142405,MA,2020,1
139125,NZ,2020,1
134568,HU,2020,1
114553,GR,2020,1
105264,BG,2020,1
96769,RS,2020,1
95190,AE,2020,1
91819,DZ,2020,1
90770,KE,2020,1
88631,TN,2020,1
84292,LK,2020,1
83817,VE,2020,1
70527,EC,2020,1
69649,KZ,2020,1
69284,NP,2020,1
58042,HR,2020,1
56617,LT,2020,1
55554,SK,2020,1
52221,CR,2020,1
51669,IQ,2020,1
46306,MM,2020,1
42569,GH,2020,1
40432,EE,2020,1
38214,SI,2020,1
38046,DO,2020,1
37209,JO,2020,1
37160,BO,2020,1
36586,LV,2020,1
35715,UY,2020,1
34807,GT,2020,1
31298,AM,2020,1
31034,KH,2020,1
30963,LB,2020,1
29777,GE,2020,1
28833,AL,2020,1
28503,BA,2020,1
27810,MD,2020,1
26794,PS,2020,1
25900,SV,2020,1
25130,AZ,2020,1
24575,UZ,2020,1
23109,ET,2020,1
22923,MK,2020,1
21059,KW,2020,1
21053,UG,2020,1
18720,PR,2020,1
18205,QA,2020,1
17469,CM,2020,1
17267,TZ,2020,1
16613,PA,2020,1
16280,CI,2020,1
16225,HN,2020,1
15981,LU,2020,1
15189,IS,2020,1
14587,PY,2020,1
14515,SY,2020,1
14440,KG,2020,1
14138,CY,2020,1
14085,MN,2020,1
13736,SN,2020,1
13270,ZW,2020,1
13043,OM,2020,1
12998,CU,2020,1
12791,MT,2020,1
12584,YE,2020,1
11994,NI,2020,1
11149,JM,2020,1
11010,SD,2020,1
10812,MU,2020,1
10105,MG,2020,1
9848,RW,2020,1
9381,BH,2020,1
9125,LY,2020,1
8522,TT,2020,1
8400,MO,2020,1
7156,AO,2020,1
6964,ZM,2020,1
6481,AF,2020,1
6329,BJ,2020,1
5871,RE,2020,1
5787,LA,2020,1
5748,MZ,2020,1
5406,CD,2020,1
5156,SO,2020,1
5107,TG,2020,1
4978,ME,2020,1
4347,HT,2020,1
4327,BW,2020,1
3960,BN,2020,1
3770,MV,2020,1
3510,MW,2020,1
3049,BB,2020,1
2599,TJ,2020,1
2530,BF,2020,1
2431,BS,2020,1
2054,GP,2020,1
2024,ML,2020,1
1870,NA,2020,1
1813,FJ,2020,1
1800,SL,2020,1
1746,GY,2020,1
1730,BT,2020,1
1703,SR,2020,1
1702,IM,2020,1
1675,BZ,2020,1
1606,JE,2020,1
1576,PG,2020,1
1555,GU,2020,1
1546,MQ,2020,1
1519,MR,2020,1
1514,GA,2020,1
1511,CV,2020,1
1477,NC,2020,1
1440,GM,2020,1
1430,GN,2020,1
1407,PF,2020,1
1406,CW,2020,1
1328,LR,2020,1
1264,LS,2020,1
1116,NE,2020,1
1113,KY,2020,1
1061,BM,2020,1
1026,AD,2020,1
1009,BI,2020,1
1006,AW,2020,1
998,SZ,2020,1
983,CG,2020,1
920,LC,2020,1
865,TM,2020,1
831,SC,2020,1
813,GI,2020,1
813,GG,2020,1
796,FO,2020,1
767,MC,2020,1
753,DJ,2020,1
753,GF,2020,1
736,LI,2020,1
673,VI,2020,1
614,GD,2020,1
553,AG,2020,1
433,TL,2020,1
431,VC,2020,1
404,AX,2020,1
349,SM,2020,1
347,YT,2020,1
346,GL,2020,1
296,DM,2020,1
293,KN,2020,1
280,MP,2020,1
268,SX,2020,1
263,TD,2020,1
247,VU,2020,1
235,SS,2020,1
231,GQ,2020,1
202,SB,2020,1
194,TC,2020,1
189,VG,2020,1
180,BQ,2020,1
138,WS,2020,1
133,AS,2020,1
132,ST,2020,1
129,ER,2020,1
127,TO,2020,1
121,FM,2020,1
116,KM,2020,1
102,AI,2020,1
10434232,US,2020,2
7553818,EU,2020,2
6281702,CN,2020,2
4684375,IN,2020,2
1749625,GB,2020,2
1544319,BR,2020,2
1432550,DE,2020,2
1402697,RU,2020,2
1241923,JP,2020,2
1228068,CA,2020,2
1154301,FR,2020,2
978184,ID,2020,2
833824,KR,2020,2
734852,AU,2020,2
711308,ES,2020,2
611294,UA,2020,2
601586,NL,2020,2
595987,MX,2020,2
571515,PL,2020,2
559974,VN,2020,2
542562,TR,2020,2
521524,IT,2020,2
463352,HK,2020,2
454544,PH,2020,2
446342,TW,2020,2
354073,PK,2020,2
339616,SE,2020,2
331449,TH,2020,2
330375,SG,2020,2
318451,AR,2020,2
318051,CO,2020,2
272006,IL,2020,2
269768,EG,2020,2
257191,MY,2020,2
246934,BD,2020,2
235652,RO,2020,2
232366,BE,2020,2
232183,CH,2020,2
230216,IR,2020,2
225046,ZA,2020,2
203064,NG,2020,2
191828,SA,2020,2
187717,DK,2020,2
186497,PT,2020,2
180792,CL,2020,2
171657,PE,2020,2
167930,NO,2020,2
166849,CZ,2020,2
161134,MA,2020,2
158917,AT,2020,2
158595,BY,2020,2
156763,IE,2020,2
154161,FI,2020,2
151979,HU,2020,2
150778,NZ,2020,2
124884,GR,2020,2
112717,BG,2020,2
110078,AE,2020,2
103646,RS,2020,2
103633,DZ,2020,2
100837,KE,2020,2
96518,TN,2020,2
95516,LK,2020,2
89282,VE,2020,2
80365,EC,2020,2
78400,NP,2020,2
77896,KZ,2020,2
62191,HR,2020,2
60955,LT,2020,2
60596,SK,2020,2
60447,IQ,2020,2
57535,CR,2020,2
53678,MM,2020,2
49033,GH,2020,2
43098,DO,2020,2
42924,EE,2020,2
41852,JO,2020,2
41552,BO,2020,2
40710,SI,2020,2
39704,LV,2020,2
39419,UY,2020,2
38947,GT,2020,2
35233,LB,2020,2
34296,AM,2020,2
33998,KH,2020,2
33381,GE,2020,2
31852,AL,2020,2
30889,BA,2020,2
30541,MD,2020,2
30536,AZ,2020,2
29267,UZ,2020,2
28952,PS,2020,2
28753,SV,2020,2
26677,ET,2020,2
25191,MK,2020,2
24819,KW,2020,2
23072,UG,2020,2
20945,QA,2020,2
20855,PR,2020,2
19394,CM,2020,2
19288,TZ,2020,2
19281,PA,2020,2
18125,HN,2020,2
17973,CI,2020,2
16530,LU,2020,2
16423,PY,2020,2
16352,KG,2020,2
16155,SY,2020,2
15950,IS,2020,2
15712,CY,2020,2
15661,MN,2020,2
15458,OM,2020,2
15320,SN,2020,2
14787,ZW,2020,2
14407,CU,2020,2
14080,YE,2020,2
13594,MT,2020,2
13027,NI,2020,2
12534,JM,2020,2
12353,SD,2020,2
11946,MU,2020,2
10980,MG,2020,2
10836,BH,2020,2
10680,RW,2020,2
10314,LY,2020,2
9753,TT,2020,2
8842,MO,2020,2
8310,AO,2020,2
8048,ZM,2020,2
7457,AF,2020,2
7239,BJ,2020,2
6616,MZ,2020,2
6499,RE,2020,2
6432,LA,2020,2
6208,CD,2020,2
5851,SO,2020,2
5768,ME,2020,2
5650,TG,2020,2
4942,BW,2020,2
4767,HT,2020,2
4387,BN,2020,2
4333,MV,2020,2
3902,MW,2020,2
3428,BB,2020,2
2926,BS,2020,2
2888,BF,2020,2
2811,TJ,2020,2
2549,NA,2020,2
2307,GP,2020,2
2296,ML,2020,2
2060,SL,2020,2
2020,GY,2020,2
2016,FJ,2020,2
2007,BT,2020,2
1923,IM,2020,2
1916,SR,2020,2
1891,BZ,2020,2
1809,PG,2020,2
1808,MR,2020,2
1794,JE,2020,2
1742,MQ,2020,2
1726,GU,2020,2
1670,CV,2020,2
1664,GA,2020,2
1609,GN,2020,2
1608,GM,2020,2
1602,NC,2020,2
1563,CW,2020,2
1529,PF,2020,2
1496,LR,2020,2
1406,LS,2020,2
1246,KY,2020,2
1217,NE,2020,2
1188,AD,2020,2
1163,BM,2020,2
1139,AW,2020,2
1137,SZ,2020,2
1136,BI,2020,2
1095,CG,2020,2
1068,LC,2020,2
1045,TM,2020,2
867,GF,2020,2
864,FO,2020,2
855,GI,2020,2
853,GG,2020,2
849,SC,2020,2
820,DJ,2020,2
812,VI,2020,2
771,LI,2020,2
757,MC,2020,2
702,GD,2020,2
628,AG,2020,2
518,VC,2020,2
463,TL,2020,2
394,AX,2020,2
393,SM,2020,2
386,GL,2020,2
382,YT,2020,2
345,KN,2020,2
345,DM,2020,2
325,TD,2020,2
311,MP,2020,2
307,SX,2020,2
294,SS,2020,2
276,VU,2020,2
270,VG,2020,2
257,GQ,2020,2
232,TC,2020,2
229,SB,2020,2
194,BQ,2020,2
161,AI,2020,2
160,AS,2020,2
158,WS,2020,2
150,TO,2020,2
145,ST,2020,2
132,ER,2020,2
129,FM,2020,2
126,KM,2020,2
111,MH,2020,2
106,GW,2020,2
106,PW,2020,2
11086139,US,2020,3
7994501,EU,2020,3
6565328,CN,2020,3
5206926,IN,2020,3
1843208,GB,2020,3
1693935,BR,2020,3
1519080,DE,2020,3
1518924,RU,2020,3
1338905,JP,2020,3
1305510,CA,2020,3
1217848,FR,2020,3
1091831,ID,2020,3
910910,KR,2020,3
787386,AU,2020,3
753123,ES,2020,3
666919,MX,2020,3
650147,UA,2020,3
635475,NL,2020,3
601156,VN,2020,3
600202,PL,2020,3
596755,TR,2020,3
553803,IT,2020,3
520962,HK,2020,3
510670,PH,2020,3
480230,TW,2020,3
388897,PK,2020,3
371132,SG,2020,3
358303,TH,2020,3
358195,SE,2020,3
356007,CO,2020,3
355388,AR,2020,3
297793,EG,2020,3
289058,IL,2020,3
280133,MY,2020,3
279159,BD,2020,3
249973,RO,2020,3
249142,IR,2020,3
246671,ZA,2020,3
246364,BE,2020,3
245643,CH,2020,3
232444,NG,2020,3
213878,SA,2020,3
201200,CL,2020,3
198968,DK,2020,3
196981,PT,2020,3
192328,PE,2020,3
177872,NO,2020,3
176051,CZ,2020,3
174167,MA,2020,3
170054,BY,2020,3
167753,AT,2020,3
165544,IE,2020,3
165000,HU,2020,3
162910,FI,2020,3
160545,NZ,2020,3
132636,GR,2020,3
122101,AE,2020,3
118753,BG,2020,3
112889,DZ,2020,3
110279,KE,2020,3
109737,RS,2020,3
104093,LK,2020,3
102800,TN,2020,3
95465,VE,2020,3
90657,EC,2020,3
88216,NP,2020,3
86405,KZ,2020,3
69901,IQ,2020,3
66018,HR,2020,3
65189,LT,2020,3
64339,SK,2020,3
63050,CR,2020,3
62501,MM,2020,3
55278,GH,2020,3
47859,DO,2020,3
45980,BO,2020,3
45968,JO,2020,3
45746,EE,2020,3
44331,GT,2020,3
43159,UY,2020,3
43039,LV,2020,3
42549,SI,2020,3
38797,LB,2020,3
36975,AM,2020,3
36858,KH,2020,3
36217,GE,2020,3
35233,AZ,2020,3
34889,UZ,2020,3
34198,AL,2020,3
33494,MD,2020,3
32844,BA,2020,3
31981,SV,2020,3
31018,PS,2020,3
29308,ET,2020,3
28134,KW,2020,3
27034,MK,2020,3
24971,UG,2020,3
23459,QA,2020,3
23145,PR,2020,3
21989,PA,2020,3
21662,CM,2020,3
21372,TZ,2020,3
20582,HN,2020,3
19588,CI,2020,3
18460,KG,2020,3
18266,PY,2020,3
17532,OM,2020,3
17500,LU,2020,3
17358,SY,2020,3
17220,CY,2020,3
17138,IS,2020,3
16783,MN,2020,3
16619,SN,2020,3
16351,ZW,2020,3
16049,CU,2020,3
15710,YE,2020,3
14242,MT,2020,3
14199,NI,2020,3
13920,JM,2020,3
13543,SD,2020,3
12663,MU,2020,3
12182,BH,2020,3
12067,MG,2020,3
11636,RW,2020,3
11219,LY,2020,3
10915,TT,2020,3
9730,MO,2020,3
9402,AO,2020,3
9033,ZM,2020,3
8303,BJ,2020,3
8214,AF,2020,3
7439,MZ,2020,3
7180,LA,2020,3
7139,RE,2020,3
7028,CD,2020,3
6727,SO,2020,3
6279,TG,2020,3
6277,ME,2020,3
5416,BW,2020,3
5160,HT,2020,3
4861,MV,2020,3
4740,BN,2020,3
4281,MW,2020,3
3686,BB,2020,3
3346,BF,2020,3
3276,BS,2020,3
3194,TJ,2020,3
3126,NA,2020,3
2630,ML,2020,3
2484,GP,2020,3
2427,SL,2020,3
2384,BT,2020,3
2269,GY,2020,3
2246,FJ,2020,3
2241,TM,2020,3
2170,BZ,2020,3
2095,PG,2020,3
2074,SR,2020,3
2055,IM,2020,3
2004,MR,2020,3
1922,GU,2020,3
1897,JE,2020,3
1884,MQ,2020,3
1821,CV,2020,3
1809,GA,2020,3
1799,GN,2020,3
1767,NC,2020,3
1740,GM,2020,3
1719,LR,2020,3
1652,CW,2020,3
1632,PF,2020,3
1573,LS,2020,3
1362,NE,2020,3
1324,BI,2020,3
1313,KY,2020,3
1281,AD,2020,3
1279,SZ,2020,3
1240,BM,2020,3
1230,AW,2020,3
1214,CG,2020,3
1180,LC,2020,3
942,FO,2020,3
932,GF,2020,3
919,VI,2020,3
889,DJ,2020,3
885,SC,2020,3
883,GG,2020,3
871,GI,2020,3
844,LI,2020,3
820,MC,2020,3
774,GD,2020,3
633,AG,2020,3
569,VC,2020,3
