weight,source,destination,year,quarter
144459,US,EU,2020,1
85123,GB,EU,2020,1
35942,CA,EU,2020,1
36770,RU,EU,2020,1
32129,CH,EU,2020,1
23646,UA,EU,2020,1
23741,IN,EU,2020,1
18273,AU,EU,2020,1
16633,BR,EU,2020,1
10895,IL,EU,2020,1
8354,CN,EU,2020,1
3894,NP,EU,2020,1
9237,JP,EU,2020,1
13682,NO,EU,2020,1
4810,NZ,EU,2020,1
6552,BY,EU,2020,1
5005,AR,EU,2020,1
4394,SG,EU,2020,1
3459,PK,EU,2020,1
3664,MX,EU,2020,1
2325,EG,EU,2020,1
3298,IR,EU,2020,1
2153,TN,EU,2020,1
3687,VN,EU,2020,1
3472,TR,EU,2020,1
3105,TW,EU,2020,1
3792,ZA,EU,2020,1
3464,TH,EU,2020,1
2778,KR,EU,2020,1
3812,HK,EU,2020,1
3516,RS,EU,2020,1
1806,CO,EU,2020,1
2307,PH,EU,2020,1
908,RE,EU,2020,1
1098,BD,EU,2020,1
2281,ID,EU,2020,1
1299,CL,EU,2020,1
671,KN,EU,2020,1
1072,MD,EU,2020,1
650,MK,EU,2020,1
1059,MA,EU,2020,1
1218,PE,EU,2020,1
778,VE,EU,2020,1
886,NG,EU,2020,1
443,PA,EU,2020,1
1186,MY,EU,2020,1
558,GE,EU,2020,1
408,BH,EU,2020,1
1474,AE,EU,2020,1
504,KZ,EU,2020,1
510,CR,EU,2020,1
1152,UY,EU,2020,1
259,KG,EU,2020,1
243,MU,EU,2020,1
394,LK,EU,2020,1
233,ML,EU,2020,1
230,IS,EU,2020,1
227,PF,EU,2020,1
538,DZ,EU,2020,1
198,EC,EU,2020,1
193,MG,EU,2020,1
364,GT,EU,2020,1
356,AL,EU,2020,1
311,BO,EU,2020,1
283,KH,EU,2020,1
157,CU,EU,2020,1
394,KE,EU,2020,1
146,BJ,EU,2020,1
257,DO,EU,2020,1
249,BA,EU,2020,1
140,LB,EU,2020,1
126,GP,EU,2020,1
126,AD,EU,2020,1
110,CV,EU,2020,1
104,GI,EU,2020,1
169864,US,EU,2020,2
108795,GB,EU,2020,2
47585,CH,EU,2020,2
42135,CA,EU,2020,2
41742,RU,EU,2020,2
33647,IN,EU,2020,2
27122,UA,EU,2020,2
21567,AU,EU,2020,2
11453,IL,EU,2020,2
19805,BR,EU,2020,2
9574,CN,EU,2020,2
3917,NP,EU,2020,2
17073,NO,EU,2020,2
10978,JP,EU,2020,2
4722,CO,EU,2020,2
5746,NZ,EU,2020,2
7184,AR,EU,2020,2
4963,VN,EU,2020,2
7723,RS,EU,2020,2
4327,TH,EU,2020,2
3823,TW,EU,2020,2
6003,SG,EU,2020,2
5497,IR,EU,2020,2
6210,BY,EU,2020,2
6178,TR,EU,2020,2
4968,ZA,EU,2020,2
3052,EG,EU,2020,2
3909,HK,EU,2020,2
3844,PH,EU,2020,2
4092,MX,EU,2020,2
3245,PK,EU,2020,2
2620,ID,EU,2020,2
1236,RE,EU,2020,2
2373,KR,EU,2020,2
1133,TN,EU,2020,2
1022,MA,EU,2020,2
709,PA,EU,2020,2
946,VE,EU,2020,2
1545,CL,EU,2020,2
1365,UY,EU,2020,2
1726,AE,EU,2020,2
1101,GE,EU,2020,2
1156,NG,EU,2020,2
1622,MY,EU,2020,2
738,EC,EU,2020,2
892,DZ,EU,2020,2
892,PE,EU,2020,2
916,KE,EU,2020,2
982,MD,EU,2020,2
407,MU,EU,2020,2
576,KW,EU,2020,2
579,KZ,EU,2020,2
582,BD,EU,2020,2
347,AD,EU,2020,2
342,KN,EU,2020,2
335,KH,EU,2020,2
332,KG,EU,2020,2
564,UG,EU,2020,2
439,LK,EU,2020,2
508,BA,EU,2020,2
374,IS,EU,2020,2
730,AL,EU,2020,2
323,AM,EU,2020,2
190,GP,EU,2020,2
294,MK,EU,2020,2
181,CR,EU,2020,2
175,CI,EU,2020,2
159,MG,EU,2020,2
154,BO,EU,2020,2
150,CV,EU,2020,2
148,CU,EU,2020,2
148,MO,EU,2020,2
134,SN,EU,2020,2
133,MM,EU,2020,2
133,LB,EU,2020,2
133,PY,EU,2020,2
131,GT,EU,2020,2
118,JE,EU,2020,2
112,BN,EU,2020,2
105,MN,EU,2020,2
103,TZ,EU,2020,2
152566,US,EU,2020,3
92506,GB,EU,2020,3
37920,RU,EU,2020,3
35698,CH,EU,2020,3
31232,CA,EU,2020,3
31767,IN,EU,2020,3
25031,UA,EU,2020,3
18917,AU,EU,2020,3
19987,BR,EU,2020,3
9973,CN,EU,2020,3
8972,AR,EU,2020,3
8992,IL,EU,2020,3
12608,NO,EU,2020,3
4443,CO,EU,2020,3
3675,EG,EU,2020,3
4808,HK,EU,2020,3
5396,TR,EU,2020,3
2536,NP,EU,2020,3
5370,SG,EU,2020,3
3914,IR,EU,2020,3
5632,RS,EU,2020,3
3495,MX,EU,2020,3
3039,KR,EU,2020,3
3801,ZA,EU,2020,3
2279,TW,EU,2020,3
3809,VN,EU,2020,3
3144,PK,EU,2020,3
1081,RE,EU,2020,3
4282,BY,EU,2020,3
1409,TN,EU,2020,3
2924,ID,EU,2020,3
1458,TH,EU,2020,3
1258,CL,EU,2020,3
1337,MY,EU,2020,3
1084,EC,EU,2020,3
1318,MD,EU,2020,3
823,AE,EU,2020,3
410,BH,EU,2020,3
1225,NG,EU,2020,3
581,MA,EU,2020,3
349,IS,EU,2020,3
1519,UY,EU,2020,3
929,VE,EU,2020,3
576,AL,EU,2020,3
448,UG,EU,2020,3
308,CU,EU,2020,3
730,GE,EU,2020,3
256,SA,EU,2020,3
256,KG,EU,2020,3
371,DO,EU,2020,3
400,MK,EU,2020,3
198,CV,EU,2020,3
302,BA,EU,2020,3
191,NI,EU,2020,3
175,MG,EU,2020,3
173,CR,EU,2020,3
170,LK,EU,2020,3
168,BO,EU,2020,3
167,BD,EU,2020,3
165,KN,EU,2020,3
129,AM,EU,2020,3
121,MO,EU,2020,3
114,SN,EU,2020,3
111,UZ,EU,2020,3
110,GP,EU,2020,3
107,CM,EU,2020,3
210,JO,EU,2020,3
106,AD,EU,2020,3
105,LC,EU,2020,3
104,GT,EU,2020,3
152994,US,EU,2020,4
97303,GB,EU,2020,4
42634,CH,EU,2020,4
39889,RU,EU,2020,4
37812,IN,EU,2020,4
26481,UA,EU,2020,4
17515,BR,EU,2020,4
17468,NO,EU,2020,4
11280,CN,EU,2020,4
11001,IL,EU,2020,4
10230,JP,EU,2020,4
7731,AR,EU,2020,4
5341,SG,EU,2020,4
6195,RS,EU,2020,4
9473,TR,EU,2020,4
4750,NZ,EU,2020,4
3145,KR,EU,2020,4
4258,IR,EU,2020,4
1990,NP,EU,2020,4
2703,TW,EU,2020,4
4635,BY,EU,2020,4
1407,RE,EU,2020,4
4098,VN,EU,2020,4
3516,PK,EU,2020,4
3064,ID,EU,2020,4
4392,MX,EU,2020,4
1189,TN,EU,2020,4
2108,EG,EU,2020,4
1236,IS,EU,2020,4
1176,MA,EU,2020,4
2040,CO,EU,2020,4
2378,ZA,EU,2020,4
2136,MY,EU,2020,4
1185,DZ,EU,2020,4
2430,PH,EU,2020,4
1643,TH,EU,2020,4
