git_pushes,iso2_code,year,quarter
21377653,US,2020,1
17175696,EU,2020,1
5567938,CN,2020,1
4422587,IN,2020,1
3980488,GB,2020,1
3622573,DE,2020,1
2938432,FR,2020,1
2859170,CA,2020,1
2763720,RU,2020,1
2530973,BR,2020,1
2494749,JP,2020,1
2080113,KR,2020,1
1477052,ES,2020,1
1408309,PL,2020,1
1374704,NL,2020,1
1235371,UA,2020,1
1119543,AU,2020,1
902300,IT,2020,1
864589,ID,2020,1
829993,SE,2020,1
741475,HK,2020,1
739518,CH,2020,1
675271,TW,2020,1
629209,VN,2020,1
585100,CO,2020,1
582028,IL,2020,1
581488,SG,2020,1
572711,MX,2020,1
521326,BE,2020,1
492119,NO,2020,1
486550,CZ,2020,1
451942,FI,2020,1
442084,BY,2020,1
437182,AR,2020,1
424198,TR,2020,1
409559,DK,2020,1
376071,AT,2020,1
362749,RO,2020,1
358133,IE,2020,1
348295,TH,2020,1
346515,PT,2020,1
317175,PH,2020,1
295222,BD,2020,1
277372,NZ,2020,1
272248,NG,2020,1
256166,HU,2020,1
241004,ZA,2020,1
235987,PK,2020,1
229840,BG,2020,1
220973,EG,2020,1
193159,GR,2020,1
182388,KE,2020,1
181299,CL,2020,1
174429,RS,2020,1
168110,MY,2020,1
148536,IR,2020,1
144885,LK,2020,1
143807,PE,2020,1
119168,TN,2020,1
117579,NP,2020,1
113246,LT,2020,1
105055,HR,2020,1
99380,MA,2020,1
98778,SK,2020,1
93937,EE,2020,1
88556,EC,2020,1
82177,KZ,2020,1
75354,VE,2020,1
73591,SI,2020,1
72359,AE,2020,1
70834,LV,2020,1
65778,SA,2020,1
65746,CR,2020,1
55000,UY,2020,1
53659,AM,2020,1
51494,DO,2020,1
50932,GT,2020,1
48152,JO,2020,1
45559,MD,2020,1
44033,BA,2020,1
43704,GH,2020,1
42571,DZ,2020,1
42148,MM,2020,1
40367,KG,2020,1
38753,BO,2020,1
37831,UG,2020,1
34849,RW,2020,1
34442,GE,2020,1
33399,UZ,2020,1
33263,LU,2020,1
31410,AZ,2020,1
30408,IS,2020,1
29501,SV,2020,1
29475,MK,2020,1
27612,PS,2020,1
27609,KH,2020,1
26822,HN,2020,1
25121,AL,2020,1
24565,LB,2020,1
22745,MT,2020,1
20695,ET,2020,1
20651,IQ,2020,1
18874,CY,2020,1
17736,CM,2020,1
17487,TZ,2020,1
16034,PY,2020,1
14545,CU,2020,1
14099,PR,2020,1
13276,PA,2020,1
13000,MG,2020,1
13000,SN,2020,1
11968,NI,2020,1
11484,JM,2020,1
9562,KW,2020,1
9442,MU,2020,1
9361,MN,2020,1
8985,CI,2020,1
8444,ME,2020,1
8116,ZW,2020,1
7849,RE,2020,1
7506,QA,2020,1
7487,MO,2020,1
