organizations,iso2_code,year,quarter
601565,US,2020,1
433848,EU,2020,1
377119,CN,2020,1
247204,IN,2020,1
125302,BR,2020,1
100347,ID,2020,1
94086,GB,2020,1
83801,DE,2020,1
69377,JP,2020,1
69164,FR,2020,1
68602,CA,2020,1
67061,RU,2020,1
63860,KR,2020,1
55920,VN,2020,1
46789,TR,2020,1
40219,ES,2020,1
38589,AU,2020,1
37237,NL,2020,1
36691,MX,2020,1
32648,UA,2020,1
30983,TH,2020,1
30583,PL,2020,1
27440,IT,2020,1
27279,PH,2020,1
27115,HK,2020,1
26487,BD,2020,1
25107,PK,2020,1
24433,TW,2020,1
21820,CO,2020,1
21321,SE,2020,1
21313,EG,2020,1
20483,IR,2020,1
18879,NG,2020,1
18774,SG,2020,1
17760,AR,2020,1
17749,MY,2020,1
17713,SA,2020,1
17523,MA,2020,1
15439,CH,2020,1
13242,ZA,2020,1
13076,BE,2020,1
13009,PE,2020,1
12897,IL,2020,1
12720,RO,2020,1
11515,CL,2020,1
11218,DZ,2020,1
11076,DK,2020,1
10634,NO,2020,1
10472,CZ,2020,1
10010,PT,2020,1
9141,AT,2020,1
9039,BG,2020,1
8589,NZ,2020,1
8531,FI,2020,1
8349,TN,2020,1
7894,VE,2020,1
7639,HU,2020,1
7528,AE,2020,1
7350,IE,2020,1
7205,LK,2020,1
7062,KE,2020,1
6889,BY,2020,1
6398,IQ,2020,1
6290,GR,2020,1
5456,EC,2020,1
5405,NP,2020,1
5218,MM,2020,1
5121,KH,2020,1
4890,RS,2020,1
4181,KZ,2020,1
4014,GH,2020,1
3516,DO,2020,1
3385,SK,2020,1
3288,LT,2020,1
3247,CR,2020,1
3076,JO,2020,1
2786,HR,2020,1
2741,BO,2020,1
2665,GE,2020,1
2615,AL,2020,1
2611,PS,2020,1
2561,AZ,2020,1
2381,EE,2020,1
2305,UY,2020,1
2155,LB,2020,1
2135,LV,2020,1
2104,CI,2020,1
2075,GT,2020,1
2063,SI,2020,1
2027,UZ,2020,1
1913,AM,2020,1
1905,UG,2020,1
1888,CM,2020,1
1862,MD,2020,1
1845,TZ,2020,1
1839,KW,2020,1
1673,SV,2020,1
1583,ET,2020,1
1523,BA,2020,1
1439,MN,2020,1
1435,IS,2020,1
1404,QA,2020,1
1401,SN,2020,1
1328,YE,2020,1
1258,PA,2020,1
1237,MK,2020,1
1116,LU,2020,1
1070,PR,2020,1
1025,OM,2020,1
1022,HN,2020,1
1013,SD,2020,1
993,AO,2020,1
956,PY,2020,1
955,LY,2020,1
932,SY,2020,1
919,KG,2020,1
909,ZW,2020,1
904,CY,2020,1
797,RW,2020,1
795,NI,2020,1
789,MG,2020,1
755,BH,2020,1
738,BJ,2020,1
723,JM,2020,1
722,LA,2020,1
715,CU,2020,1
683,MU,2020,1
681,MT,2020,1
648,HT,2020,1
647,CD,2020,1
599,AF,2020,1
587,MZ,2020,1
532,ZM,2020,1
528,SO,2020,1
515,MO,2020,1
495,TT,2020,1
479,TG,2020,1
369,RE,2020,1
302,BW,2020,1
289,ME,2020,1
275,BF,2020,1
266,BN,2020,1
251,MV,2020,1
245,ML,2020,1
217,TJ,2020,1
215,MW,2020,1
203,GN,2020,1
190,BT,2020,1
174,SL,2020,1
170,GP,2020,1
167,MR,2020,1
157,BS,2020,1
151,LR,2020,1
150,NA,2020,1
143,GA,2020,1
128,BB,2020,1
127,CV,2020,1
122,CG,2020,1
121,MQ,2020,1
114,CW,2020,1
113,JE,2020,1
110,NC,2020,1
110,SR,2020,1
103,BI,2020,1
102,GY,2020,1
102,BM,2020,1
102,GM,2020,1
642784,US,2020,2
474301,EU,2020,2
389609,CN,2020,2
268762,IN,2020,2
134257,BR,2020,2
103721,ID,2020,2
102966,GB,2020,2
92577,DE,2020,2
75552,CA,2020,2
75544,FR,2020,2
75533,JP,2020,2
71851,RU,2020,2
68408,KR,2020,2
58766,VN,2020,2
50630,PH,2020,2
49302,TR,2020,2
43700,ES,2020,2
42407,AU,2020,2
40651,NL,2020,2
39262,MX,2020,2
34359,UA,2020,2
33214,PL,2020,2
32318,TH,2020,2
31612,HK,2020,2
30132,IT,2020,2
27532,BD,2020,2
26451,PK,2020,2
26020,TW,2020,2
23517,CO,2020,2
23051,SE,2020,2
22301,EG,2020,2
21120,IR,2020,2
20481,NG,2020,2
20350,SG,2020,2
19413,AR,2020,2
18758,MY,2020,2
18458,SA,2020,2
18198,MA,2020,2
16350,CH,2020,2
14644,ZA,2020,2
14306,BE,2020,2
14276,IL,2020,2
13849,PE,2020,2
13830,RO,2020,2
12560,CL,2020,2
12047,DK,2020,2
11518,DZ,2020,2
11438,NO,2020,2
11428,CZ,2020,2
11214,PT,2020,2
10072,AT,2020,2
9568,NZ,2020,2
9487,BG,2020,2
9176,FI,2020,2
8640,TN,2020,2
8361,HU,2020,2
8111,IE,2020,2
8098,AE,2020,2
8077,VE,2020,2
8023,LK,2020,2
7738,KE,2020,2
7410,BY,2020,2
6878,GR,2020,2
6633,IQ,2020,2
6057,NP,2020,2
5823,EC,2020,2
5517,MM,2020,2
5403,KH,2020,2
5264,RS,2020,2
4493,KZ,2020,2
4369,GH,2020,2
3792,DO,2020,2
3727,SK,2020,2
3604,LT,2020,2
3592,CR,2020,2
3285,JO,2020,2
3032,HR,2020,2
2935,BO,2020,2
2804,GE,2020,2
2710,AL,2020,2
2707,PS,2020,2
2688,AZ,2020,2
2623,EE,2020,2
2572,UY,2020,2
2353,LB,2020,2
2340,LV,2020,2
2277,GT,2020,2
2270,SI,2020,2
2205,CI,2020,2
2155,UZ,2020,2
2098,AM,2020,2
2094,UG,2020,2
2040,CM,2020,2
2020,MD,2020,2
1967,TZ,2020,2
1926,KW,2020,2
1840,SV,2020,2
1763,ET,2020,2
1661,BA,2020,2
1550,MN,2020,2
1525,IS,2020,2
1478,QA,2020,2
1475,SN,2020,2
1388,PA,2020,2
1383,YE,2020,2
1315,MK,2020,2
1141,PR,2020,2
1139,LU,2020,2
1123,HN,2020,2
1081,AO,2020,2
1072,OM,2020,2
1070,SD,2020,2
1069,PY,2020,2
1027,CY,2020,2
1024,LY,2020,2
999,ZW,2020,2
995,KG,2020,2
980,SY,2020,2
919,RW,2020,2
879,NI,2020,2
863,MG,2020,2
800,JM,2020,2
796,CU,2020,2
795,BH,2020,2
776,BJ,2020,2
760,MT,2020,2
750,LA,2020,2
739,MU,2020,2
716,CD,2020,2
671,HT,2020,2
643,MZ,2020,2
639,AF,2020,2
590,ZM,2020,2
554,MO,2020,2
540,TT,2020,2
535,SO,2020,2
506,TG,2020,2
406,RE,2020,2
324,BW,2020,2
314,ME,2020,2
296,BF,2020,2
295,MV,2020,2
280,BN,2020,2
252,ML,2020,2
243,MW,2020,2
219,TJ,2020,2
217,GN,2020,2
211,BT,2020,2
181,SL,2020,2
176,MR,2020,2
176,GP,2020,2
173,NA,2020,2
170,BS,2020,2
157,LR,2020,2
145,BB,2020,2
141,GA,2020,2
139,CV,2020,2
131,CG,2020,2
125,CW,2020,2
124,MQ,2020,2
121,JE,2020,2
120,SR,2020,2
115,NC,2020,2
112,GM,2020,2
111,BI,2020,2
110,BM,2020,2
110,NE,2020,2
108,GY,2020,2
105,PF,2020,2
102,FJ,2020,2
101,PG,2020,2
674751,US,2020,3
501388,EU,2020,3
411915,CN,2020,3
287840,IN,2020,3
140871,BR,2020,3
108624,GB,2020,3
106866,ID,2020,3
98448,DE,2020,3
80690,JP,2020,3
79910,CA,2020,3
79393,FR,2020,3
75454,RU,2020,3
73412,KR,2020,3
61242,VN,2020,3
51393,TR,2020,3
46293,AU,2020,3
45806,ES,2020,3
43172,NL,2020,3
41448,MX,2020,3
36283,UA,2020,3
34921,HK,2020,3
34730,PL,2020,3
33183,TH,2020,3
31797,IT,2020,3
29924,PH,2020,3
28421,BD,2020,3
27732,PK,2020,3
27591,TW,2020,3
25010,CO,2020,3
24198,SE,2020,3
23622,SG,2020,3
23346,EG,2020,3
22008,NG,2020,3
21680,IR,2020,3
20953,AR,2020,3
19511,MY,2020,3
18980,SA,2020,3
18508,MA,2020,3
17562,CH,2020,3
15854,ZA,2020,3
15243,BE,2020,3
15216,IL,2020,3
14718,RO,2020,3
14504,PE,2020,3
13433,CL,2020,3
12812,DK,2020,3
12266,NO,2020,3
11992,CZ,2020,3
11959,PT,2020,3
11756,DZ,2020,3
10926,AT,2020,3
10189,NZ,2020,3
9876,BG,2020,3
9750,FI,2020,3
9005,TN,2020,3
8833,HU,2020,3
8586,AE,2020,3
8515,IE,2020,3
8514,LK,2020,3
8320,KE,2020,3
8293,VE,2020,3
7734,BY,2020,3
7265,GR,2020,3
6842,IQ,2020,3
6584,NP,2020,3
6143,EC,2020,3
5826,MM,2020,3
5615,RS,2020,3
5568,KH,2020,3
4672,GH,2020,3
4666,KZ,2020,3
3988,DO,2020,3
3943,SK,2020,3
3936,CR,2020,3
3811,LT,2020,3
3577,JO,2020,3
3277,HR,2020,3
3071,BO,2020,3
2908,GE,2020,3
2882,EE,2020,3
2862,AZ,2020,3
2833,PS,2020,3
2776,AL,2020,3
2677,UY,2020,3
2518,LV,2020,3
2502,LB,2020,3
2476,GT,2020,3
2420,SI,2020,3
2319,UZ,2020,3
2282,UG,2020,3
2282,CI,2020,3
2269,CM,2020,3
2256,AM,2020,3
2120,TZ,2020,3
2114,MD,2020,3
2025,KW,2020,3
1951,SV,2020,3
1910,ET,2020,3
1758,BA,2020,3
1638,IS,2020,3
1598,MN,2020,3
1558,QA,2020,3
1530,SN,2020,3
1456,PA,2020,3
1439,YE,2020,3
1384,MK,2020,3
1246,HN,2020,3
1241,PR,2020,3
1210,LU,2020,3
1162,PY,2020,3
1151,AO,2020,3
1118,OM,2020,3
1115,CY,2020,3
1093,SD,2020,3
1076,ZW,2020,3
1046,LY,2020,3
1013,KG,2020,3
999,RW,2020,3
992,SY,2020,3
933,NI,2020,3
917,MG,2020,3
901,CU,2020,3
873,JM,2020,3
827,BH,2020,3
816,BJ,2020,3
795,LA,2020,3
779,MT,2020,3
778,CD,2020,3
756,MU,2020,3
698,HT,2020,3
684,MZ,2020,3
659,AF,2020,3
640,ZM,2020,3
582,MO,2020,3
578,TT,2020,3
561,SO,2020,3
542,TG,2020,3
437,RE,2020,3
348,BW,2020,3
333,MV,2020,3
327,BF,2020,3
324,ME,2020,3
299,BN,2020,3
267,MW,2020,3
261,ML,2020,3
246,TJ,2020,3
231,BT,2020,3
221,GN,2020,3
198,SL,2020,3
190,NA,2020,3
182,MR,2020,3
182,GP,2020,3
178,BS,2020,3
168,LR,2020,3
149,BB,2020,3
147,CV,2020,3
145,GA,2020,3
138,CG,2020,3
136,MQ,2020,3
129,SR,2020,3
125,JE,2020,3
123,GM,2020,3
118,IM,2020,3
117,CW,2020,3
115,BI,2020,3
113,BM,2020,3
113,FJ,2020,3
108,PF,2020,3
108,GY,2020,3
106,NC,2020,3
103,NE,2020,3
102,PG,2020,3
704843,US,2020,4
534569,EU,2020,4
409365,CN,2020,4
301887,IN,2020,4
146348,BR,2020,4
115555,GB,2020,4
110073,ID,2020,4
105347,DE,2020,4
85319,JP,2020,4
84978,FR,2020,4
84473,CA,2020,4
79397,RU,2020,4
77610,KR,2020,4
63895,VN,2020,4
53822,TR,2020,4
48652,ES,2020,4
48170,AU,2020,4
45924,NL,2020,4
43366,MX,2020,4
38105,UA,2020,4
37788,HK,2020,4
36962,PL,2020,4
34127,TH,2020,4
33788,IT,2020,4
31049,PH,2020,4
29400,BD,2020,4
29026,PK,2020,4
28831,TW,2020,4
26169,CO,2020,4
25744,SE,2020,4
25205,SG,2020,4
24695,EG,2020,4
23321,NG,2020,4
22400,IR,2020,4
21943,AR,2020,4
20317,MY,2020,4
19506,SA,2020,4
18960,CH,2020,4
18957,MA,2020,4
16633,ZA,2020,4
16407,BE,2020,4
16238,IL,2020,4
15601,RO,2020,4
15137,PE,2020,4
14127,CL,2020,4
13645,DK,2020,4
13051,NO,2020,4
12869,PT,2020,4
12741,CZ,2020,4
11920,DZ,2020,4
11698,AT,2020,4
10675,NZ,2020,4
10439,FI,2020,4
10186,BG,2020,4
9427,TN,2020,4
9286,HU,2020,4
9211,LK,2020,4
9080,IE,2020,4
8960,AE,2020,4
8815,KE,2020,4
8444,VE,2020,4
8030,BY,2020,4
7769,GR,2020,4
7056,IQ,2020,4
6899,NP,2020,4
6343,EC,2020,4
6093,MM,2020,4
5918,RS,2020,4
5773,KH,2020,4
4929,GH,2020,4
4894,KZ,2020,4
4158,SK,2020,4
4130,CR,2020,4
4100,DO,2020,4
4080,LT,2020,4
3856,JO,2020,4
3516,HR,2020,4
3213,BO,2020,4
3040,EE,2020,4
2987,GE,2020,4
2941,AZ,2020,4
2941,PS,2020,4
2882,AL,2020,4
2862,UY,2020,4
2737,LV,2020,4
2628,LB,2020,4
2626,SI,2020,4
2569,GT,2020,4
2549,UZ,2020,4
2448,UG,2020,4
2375,CM,2020,4
2324,CI,2020,4
2324,AM,2020,4
2221,TZ,2020,4
2217,MD,2020,4
2068,KW,2020,4
2061,SV,2020,4
2045,ET,2020,4
1824,BA,2020,4
1696,IS,2020,4
1669,MN,2020,4
1614,SN,2020,4
1609,QA,2020,4
1529,PA,2020,4
1519,YE,2020,4
1456,MK,2020,4
1295,HN,2020,4
1282,PR,2020,4
1253,LU,2020,4
1225,AO,2020,4
1212,PY,2020,4
1210,CY,2020,4
1173,SD,2020,4
1145,OM,2020,4
1127,ZW,2020,4
1102,RW,2020,4
1100,KG,2020,4
1091,LY,2020,4
1025,SY,2020,4
974,NI,2020,4
973,CU,2020,4
961,MG,2020,4
889,JM,2020,4
875,BH,2020,4
857,BJ,2020,4
833,MT,2020,4
830,MU,2020,4
825,CD,2020,4
821,LA,2020,4
725,MZ,2020,4
714,HT,2020,4
693,ZM,2020,4
692,AF,2020,4
625,MO,2020,4
607,TT,2020,4
575,SO,2020,4
560,TG,2020,4
466,RE,2020,4
368,BW,2020,4
351,MV,2020,4
344,BF,2020,4
341,BN,2020,4
325,ME,2020,4
285,MW,2020,4
276,ML,2020,4
274,TJ,2020,4
242,BT,2020,4
231,GN,2020,4
212,NA,2020,4
210,SL,2020,4
187,BS,2020,4
186,MR,2020,4
186,GP,2020,4
178,LR,2020,4
170,BB,2020,4
166,CV,2020,4
154,GA,2020,4
146,MQ,2020,4
144,CG,2020,4
138,SR,2020,4
132,JE,2020,4
130,IM,2020,4
127,GM,2020,4
126,CW,2020,4
120,PF,2020,4
118,BM,2020,4
118,NE,2020,4
115,PG,2020,4
115,BI,2020,4
115,FJ,2020,4
112,GY,2020,4
111,AD,2020,4
110,TM,2020,4
108,NC,2020,4
104,LS,2020,4
744682,US,2021,1
569494,EU,2021,1
412907,CN,2021,1
316985,IN,2021,1
153201,BR,2021,1
123361,GB,2021,1
114562,ID,2021,1
113027,DE,2021,1
90878,CA,2021,1
90432,JP,2021,1
90413,FR,2021,1
83812,RU,2021,1
82777,KR,2021,1
65920,VN,2021,1
56363,TR,2021,1
51835,ES,2021,1
50580,AU,2021,1
48582,NL,2021,1
45538,MX,2021,1
42430,HK,2021,1
39976,UA,2021,1
39271,PL,2021,1
36051,IT,2021,1
35295,TH,2021,1
32262,PH,2021,1
30787,PK,2021,1
30497,BD,2021,1
30298,TW,2021,1
27624,CO,2021,1
27324,SE,2021,1
25972,SG,2021,1
25864,EG,2021,1
24624,NG,2021,1
23370,IR,2021,1
23005,AR,2021,1
21041,MY,2021,1
20198,CH,2021,1
20055,SA,2021,1
19512,MA,2021,1
17772,ZA,2021,1
17673,BE,2021,1
17129,IL,2021,1
16028,RO,2021,1
15686,PE,2021,1
14673,CL,2021,1
14593,DK,2021,1
13976,NO,2021,1
13885,PT,2021,1
