repositories,iso2_code,year,quarter
30669781,US,2020,1
20179087,CN,2020,1
17912888,EU,2020,1
9254535,IN,2020,1
4171705,GB,2020,1
3602025,BR,2020,1
3453638,DE,2020,1
3241750,CA,2020,1
3057681,RU,2020,1
2891946,FR,2020,1
2814553,JP,2020,1
1925215,KR,2020,1
1913481,HK,2020,1
1744385,ES,2020,1
1645127,ID,2020,1
1637559,UA,2020,1
1631400,AU,2020,1
1490080,PL,2020,1
1467690,NL,2020,1
1384527,VN,2020,1
1204885,TW,2020,1
1089820,MX,2020,1
941289,SG,2020,1
874565,IT,2020,1
863354,SE,2020,1
772897,TR,2020,1
678828,CO,2020,1
651461,CH,2020,1
642600,TH,2020,1
630912,PH,2020,1
613903,IL,2020,1
608445,AR,2020,1
588881,BD,2020,1
552638,BE,2020,1
512056,PK,2020,1
473269,IE,2020,1
470719,BY,2020,1
464407,NG,2020,1
445335,DK,2020,1
440201,RO,2020,1
432883,EG,2020,1
418955,FI,2020,1
417881,ZA,2020,1
411862,CZ,2020,1
411307,PT,2020,1
399306,NZ,2020,1
388901,NO,2020,1
385216,MY,2020,1
362975,AT,2020,1
356948,PE,2020,1
353627,CL,2020,1
330409,KE,2020,1
301232,HU,2020,1
279984,BG,2020,1
260412,IR,2020,1
257723,LK,2020,1
249003,GR,2020,1
204625,RS,2020,1
198009,SA,2020,1
192760,NP,2020,1
181265,MA,2020,1
169705,AE,2020,1
151949,TN,2020,1
138828,EC,2020,1
133760,LT,2020,1
132186,KZ,2020,1
128773,EE,2020,1
125990,HR,2020,1
117394,CR,2020,1
115715,SK,2020,1
104299,VE,2020,1
99498,DZ,2020,1
89653,SI,2020,1
88459,GT,2020,1
85822,GH,2020,1
84607,LV,2020,1
83547,BO,2020,1
80828,AM,2020,1
78490,DO,2020,1
72854,KH,2020,1
68391,MM,2020,1
65571,UY,2020,1
63589,UG,2020,1
60700,MD,2020,1
59195,JO,2020,1
58900,SV,2020,1
56586,BA,2020,1
54656,AZ,2020,1
50733,IQ,2020,1
49782,UZ,2020,1
48461,GE,2020,1
44489,IS,2020,1
44258,KG,2020,1
43965,LU,2020,1
43182,PS,2020,1
42478,HN,2020,1
41500,LB,2020,1
41051,MK,2020,1
36827,AL,2020,1
35227,CM,2020,1
33274,ET,2020,1
32625,TZ,2020,1
32398,CY,2020,1
31985,YE,2020,1
30415,PR,2020,1
29848,PY,2020,1
29827,SN,2020,1
29708,RW,2020,1
29547,KW,2020,1
29377,PA,2020,1
27296,JM,2020,1
25608,MT,2020,1
25327,QA,2020,1
23059,ZW,2020,1
22849,CI,2020,1
22629,NI,2020,1
22410,MU,2020,1
20353,MN,2020,1
19047,MO,2020,1
16955,MG,2020,1
16789,HT,2020,1
13464,SY,2020,1
12908,SD,2020,1
12345,OM,2020,1
11885,TT,2020,1
11829,BH,2020,1
11573,CU,2020,1
11123,ZM,2020,1
10767,ME,2020,1
10330,MZ,2020,1
9905,AO,2020,1
9648,RE,2020,1
9322,LY,2020,1
8359,BJ,2020,1
8304,CD,2020,1
8020,LA,2020,1
7235,AF,2020,1
5714,TG,2020,1
5289,TJ,2020,1
5049,BB,2020,1
4965,MV,2020,1
4686,BW,2020,1
4645,SO,2020,1
4385,BN,2020,1
4107,MW,2020,1
3685,NA,2020,1
3249,NC,2020,1
3128,GP,2020,1
3051,BF,2020,1
3012,BM,2020,1
