year,quarter,dataset,count_distinct_economies
2020,1,developers,218
2020,2,developers,221
2020,3,developers,222
2020,4,developers,222
2021,1,developers,222
2021,2,developers,225
2021,3,developers,224
2021,4,developers,226
2022,1,developers,227
2022,2,developers,227
2022,3,developers,227
2022,4,developers,227
2023,1,developers,227
2023,2,developers,228
2020,3,topics,51
2021,1,topics,70
2021,3,topics,125
2022,2,topics,126
2022,3,topics,120
2020,1,topics,46
2020,2,topics,50
2020,4,topics,53
2021,2,topics,111
2021,4,topics,123
2022,1,topics,128
2022,4,topics,119
2023,1,topics,83
2023,2,topics,94
2020,1,repositories,215
2020,2,repositories,217
2020,3,repositories,218
2020,4,repositories,220
2021,1,repositories,220
2021,2,repositories,222
2021,3,repositories,223
2021,4,repositories,223
2022,1,repositories,223
2022,2,repositories,224
2022,3,repositories,225
2022,4,repositories,225
2023,1,repositories,227
2023,2,repositories,227
2020,1,organizations,167
2020,2,organizations,171
2020,3,organizations,172
2020,4,organizations,175
2021,2,organizations,178
2021,3,organizations,178
2021,4,organizations,178
2022,1,organizations,181
2022,2,organizations,181
2022,3,organizations,182
2022,4,organizations,183
2023,2,organizations,183
2020,1,licenses,111
2020,2,licenses,125
2020,3,licenses,127
2020,4,licenses,127
2021,1,licenses,131
2021,2,licenses,131
2021,1,organizations,178
2023,1,organizations,184
2021,3,licenses,125
2021,4,licenses,126
2022,1,licenses,128
2022,2,licenses,129
2022,3,licenses,127
2022,4,licenses,133
2023,1,licenses,131
2023,2,licenses,134
2020,1,languages,134
2020,2,languages,135
2020,3,languages,136
2020,4,languages,139
2021,2,languages,146
2021,3,languages,146
2021,4,languages,144
2022,1,languages,148
2021,1,languages,140
2022,2,languages,149
2022,3,languages,150
2023,1,languages,157
2023,2,languages,155
2021,2,economy_collaborators,164
2022,4,economy_collaborators,172
2020,2,economy_collaborators,158
2020,3,economy_collaborators,157
2022,2,economy_collaborators,175
2021,3,economy_collaborators,166
2023,1,economy_collaborators,173
2023,2,economy_collaborators,182
2021,1,economy_collaborators,162
2020,1,economy_collaborators,149
2020,4,economy_collaborators,167
2021,4,economy_collaborators,169
2022,1,economy_collaborators,166
2022,3,economy_collaborators,171
2022,4,languages,154
2020,1,git_pushes,152
2020,2,git_pushes,158
2020,3,git_pushes,159
2020,4,git_pushes,161
2021,1,git_pushes,167
2021,2,git_pushes,168
2021,3,git_pushes,172
2021,4,git_pushes,171
2022,1,git_pushes,176
2022,2,git_pushes,176
2022,3,git_pushes,175
2022,4,git_pushes,173
2023,1,git_pushes,174
2023,2,git_pushes,176
