year,quarter,iso2_code,count_of_datasets
2020,1,AR,8
2020,1,AT,8
2020,1,AU,8
2020,1,BD,8
2020,1,BE,8
2020,1,BG,8
2020,1,BR,8
2020,1,BY,8
2020,1,CA,8
2020,1,CH,8
2020,1,CN,8
2020,1,CO,8
2020,1,CZ,8
2020,1,DE,8
2020,1,DK,8
2020,1,ES,8
2020,1,EU,8
2020,1,FI,8
2020,1,FR,8
2020,1,GB,8
2020,1,GR,8
2020,1,HK,8
2020,1,ID,8
2020,1,IE,8
2020,1,IL,8
2020,1,IN,8
2020,1,IR,8
2020,1,IT,8
2020,1,JP,8
2020,1,KR,8
2020,1,MX,8
2020,1,NG,8
2020,1,NL,8
2020,1,NO,8
2020,1,PK,8
2020,1,PL,8
2020,1,PT,8
2020,1,RO,8
2020,1,RU,8
2020,1,SE,8
2020,1,SG,8
2020,1,TR,8
2020,1,TW,8
2020,1,UA,8
2020,1,US,8
2020,1,VN,8
2020,1,AE,7
2020,1,AL,7
2020,1,AM,7
2020,1,AZ,7
2020,1,BA,7
2020,1,BO,7
2020,1,CL,7
2020,1,CM,7
2020,1,CR,7
2020,1,CU,7
2020,1,CY,7
2020,1,DO,7
2020,1,DZ,7
2020,1,EC,7
2020,1,EE,7
2020,1,EG,7
2020,1,ET,7
2020,1,GE,7
2020,1,GH,7
2020,1,GT,7
2020,1,HN,7
2020,1,HR,7
2020,1,HU,7
2020,1,IQ,7
2020,1,IS,7
2020,1,JO,7
2020,1,KE,7
2020,1,KG,7
2020,1,KH,7
2020,1,KZ,7
2020,1,LB,7
2020,1,LK,7
2020,1,LT,7
2020,1,LU,7
2020,1,LV,7
2020,1,MA,7
2020,1,MD,7
2020,1,MK,7
2020,1,MM,7
2020,1,MT,7
2020,1,MU,7
2020,1,MY,7
2020,1,NI,7
2020,1,NP,7
2020,1,NZ,7
2020,1,PA,7
2020,1,PE,7
2020,1,PH,7
2020,1,PR,7
2020,1,PS,7
2020,1,PY,7
2020,1,RS,7
2020,1,RW,7
2020,1,SA,7
2020,1,SI,7
2020,1,SK,7
2020,1,SV,7
2020,1,TH,7
2020,1,TN,7
2020,1,TZ,7
2020,1,UG,7
2020,1,UY,7
2020,1,UZ,7
2020,1,VE,7
2020,1,ZA,7
2020,1,AF,6
2020,1,BH,6
2020,1,BJ,6
2020,1,CI,6
2020,1,HT,6
2020,1,JM,6
2020,1,KW,6
2020,1,LA,6
2020,1,ME,6
2020,1,MG,6
2020,1,MN,6
2020,1,MO,6
2020,1,MZ,6
2020,1,QA,6
2020,1,RE,6
2020,1,SD,6
2020,1,SN,6
2020,1,SY,6
2020,1,TJ,6
2020,1,TT,6
2020,1,YE,6
2020,1,ZW,6
2020,1,AO,5
2020,1,BB,5
2020,1,BN,5
2020,1,CD,5
2020,1,CV,5
2020,1,GP,5
2020,1,LY,5
2020,1,MV,5
2020,1,OM,5
2020,1,TG,5
2020,1,ZM,5
2020,1,BF,4
2020,1,BS,4
2020,1,BW,4
2020,1,GA,4
2020,1,ML,4
2020,1,MW,4
2020,1,NA,4
2020,1,NC,4
2020,1,SL,4
2020,1,SO,4
2020,1,AD,3
2020,1,BI,3
2020,1,BM,3
2020,1,BT,3
2020,1,BZ,3
2020,1,CG,3
2020,1,CW,3
2020,1,GI,3
2020,1,GM,3
2020,1,GN,3
2020,1,GY,3
2020,1,JE,3
2020,1,KN,3
2020,1,KY,3
2020,1,LR,3
2020,1,MQ,3
2020,1,MR,3
2020,1,PF,3
2020,1,SC,3
2020,1,SR,3
2020,1,SZ,3
2020,1,AG,2
2020,1,AQ,2
2020,1,AW,2
2020,1,AX,2
2020,1,BQ,2
2020,1,DJ,2
2020,1,DM,2
2020,1,FJ,2
2020,1,FM,2
2020,1,FO,2
2020,1,GD,2
2020,1,GF,2
2020,1,GG,2
2020,1,GL,2
2020,1,GQ,2
2020,1,GU,2
2020,1,IM,2
2020,1,KM,2
2020,1,LC,2
2020,1,LI,2
2020,1,LS,2
2020,1,MC,2
2020,1,MP,2
2020,1,NE,2
2020,1,PG,2
2020,1,SB,2
2020,1,SM,2
2020,1,SS,2
2020,1,ST,2
2020,1,SX,2
2020,1,TC,2
2020,1,TD,2
2020,1,TL,2
2020,1,TM,2
2020,1,VC,2
2020,1,VG,2
2020,1,VI,2
2020,1,VU,2
2020,1,WS,2
2020,1,YT,2
2020,1,AI,1
2020,1,AS,1
2020,1,ER,1
2020,1,TO,1
2020,2,AR,8
2020,2,AT,8
2020,2,AU,8
2020,2,BD,8
2020,2,BE,8
2020,2,BG,8
2020,2,BR,8
2020,2,BY,8
2020,2,CA,8
2020,2,CH,8
2020,2,CN,8
2020,2,CO,8
2020,2,CZ,8
2020,2,DE,8
2020,2,DK,8
2020,2,EG,8
2020,2,ES,8
2020,2,EU,8
2020,2,FI,8
2020,2,FR,8
2020,2,GB,8
2020,2,GR,8
2020,2,HK,8
2020,2,HU,8
2020,2,ID,8
2020,2,IE,8
2020,2,IL,8
2020,2,IN,8
2020,2,IR,8
2020,2,IT,8
2020,2,JP,8
2020,2,KE,8
2020,2,KR,8
2020,2,MX,8
2020,2,NG,8
2020,2,NL,8
2020,2,NO,8
2020,2,NZ,8
